"Id";"Id_material";"Material_desc";"Material_type";"Uom";"Family";"is_active";"Crtdt";"Crtby";"Upddt";"Updby"
"2";"S0641221871";"DRIVE SHAFT MC.TSL14";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-18-05 16:12";"Prime"
"3";"TM350C01201";"THRUST SPLINE M/C.FPR-3";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"4";"TM303C01103";"S/ROLLER ASS'Y.MELROE";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"5";"S0151215894";"INTERNAL GEAR ASSY. TSL12";"SFIN";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"6";"M302C0031";"PINION ASS'Y.?? 22HP";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"7";"S0141206243";"SATELLITE GEAR. TSL12";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"8";"E000V601100";"STATOR VARNISHING.TG11";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"9";"G4022605342";"F/BRACKET M/C.BOBCAT V2607";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"10";"G0002655750P";"COMPLETE F/HOUSING.THETA-FR.TG11";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"11";"TM302C04801";"PINION ASS'Y.L-ENGINE";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"12";"S3501198046";"THRUST SPLINE HEATING.DL08";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"13";"G4022627569";"F/BKT M/C TF110 TRACTOR,ANODIZING";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"14";"G4042605332";"BALL BEARING-F.BLUE.B17-102A7-A HAB";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"15";"K504101";"BALL BEARING-F.HA1S.GAMMA";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"16";"3EM0589";"THRUST SPLINE M/C.15 TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"17";"G4022618219";"FRONT BRACKET M/C.KAPPA 3CYL NEW AMS-D";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"18";"S3001216692";"ORC ASS'Y.GAMMA2 N/ISG";"SFIN";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"19";"S3031250062";"S/ROLLER ASS'Y.3TON ARMY";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"20";"505745";"PINION ASS'Y.J2/JT";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"21";"G0002605790P";"COMPLETE F/HOUSING.V/PENTA 120A";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"22";"TM303C01604";"S/ROLLER ASS'Y.E-4100";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"23";"G4022655538";"FRONT BRACKET M/C.GAMMA";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"24";"G4022610456";"F/BRACKET M/C.A2 TG9";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"25";"3EM0613";"ARM ASS'Y.15TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"26";"TM800N06601";"YOKE B/H ASS'Y.1TON22(???)";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"27";"K516203";"BALL BEARING-F.M-150 CVT";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"28";"3EM0590";"PINION ASS'Y.15TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"29";"3EM0672";"THRUST SPLINE M/C.I TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"30";"S3501250476";"THRUST SPLINE HEATING.H-ENG";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"31";"TM800N06801";"YOKE-B/HOLDER ASS'Y.L-ENGINE.";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"32";"S0001209573";"S/T. F-ENG EURO6 (DIODE) TS50HS, 48200";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"33";"S8001198805";"YOKE-B/HOLDER ASS'Y.FG-ENG.";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"34";"TM304B01106";"SHAFT GUIDE.3T";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"35";"S4001201950";"MAGNET SWITCH ASS'Y.H-ENG";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"36";"531251";"ROTOR ASS'Y. GAMMA2 INA 110A SOLID FG12T";"SFIN";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"37";"S4001203940";"MAGNET SWITCH ASS'Y. QZ L-ENG";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"38";"N0002605939";"REGULATOR ASS'Y.V/PENTA 120A";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"39";"TM350C02501";"THRUST SPLINE M/C.D/DONG 22HP";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"40";"L0002710027";"PULLEY.NU-ID AMS FG10T";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"41";"S3031250507";"S/ROLLER ASS'Y.H-ENG";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"42";"505743";"T/SPLINE MC.J2/JT";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"43";"S305190484";"SATELLITE PIN. TSL";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
